cyr,see_change_b,dep_n,see_change_bp
2012,154,1672,9.210526315789474
2013,119,1760,6.761363636363637
2014,129,1808,7.134955752212389
2015,149,1875,7.946666666666666
2016,175,1943,9.006690684508492
2017,192,1971,9.74124809741248
2018,227,1992,11.39558232931727
2019,268,1976,13.562753036437247
2020,303,2030,14.926108374384237
2021,366,2052,17.83625730994152
