cyr,dep_id,see,app_udep_rc2,latest_moecd_scd2,top_uni,public
2018,1398,70,011472_國立清華大學_藝術學院學士班,0002_02191113,TRUE,TRUE
2018,1402,60,011492_國立清華大學_藝術與設計學系創作組,0002_02131098,TRUE,TRUE
2018,1403,60,011512_國立清華大學_藝術與設計學系創作組(公費生),0002_02131098,TRUE,TRUE
2018,1404,60,011502_國立清華大學_藝術與設計學系設計組,0002_02131098,TRUE,TRUE
2018,1406,50,011152_國立清華大學_計量財務金融學系,0002_04121020,TRUE,TRUE
2018,1410,50,011352_國立清華大學_資訊工程學系乙組(資訊工程組),0002_06131053,TRUE,TRUE
2018,1411,50,011342_國立清華大學_資訊工程學系甲組(電子資訊組),0002_06131053,TRUE,TRUE
2018,1413,50,011382_國立清華大學_醫學科學系,0002_09121073,TRUE,TRUE
2018,1415,50,011332_國立清華大學_電機工程學系乙組,0002_07141049,TRUE,TRUE
2018,1416,50,011322_國立清華大學_電機工程學系甲組,0002_07141049,TRUE,TRUE
2018,1417,50,011362_國立清華大學_電機資訊學院學士班,0002_07141055,TRUE,TRUE
2018,1418,0,011482_國立清華大學_音樂學系,0002_02151096,TRUE,TRUE
2018,1419,45,011522_國立清華大學_體育學系,0002_01141127,TRUE,TRUE
2018,1421,50,151112_國立聯合大學_光電工程學系,0032_07141019,FALSE,TRUE
2018,1422,50,151022_國立聯合大學_化學工程學系,0032_07111028,FALSE,TRUE
2018,1424,50,151032_國立聯合大學_土木與防災工程學系,0032_07321027,FALSE,TRUE
2018,1425,60,151082_國立聯合大學_工業設計學系,0032_02123006,FALSE,TRUE
2018,1426,30,151072_國立聯合大學_建築學系,0032_07311040,FALSE,TRUE
2018,1427,60,151192_國立聯合大學_文化創意與數位行銷學系,0032_02122005,FALSE,TRUE
2018,1428,60,151182_國立聯合大學_文化觀光產業學系,0032_10151042,FALSE,TRUE
2018,1429,50,151042_國立聯合大學_材料科學工程學系,0032_07112029,FALSE,TRUE
2018,1430,50,151012_國立聯合大學_機械工程學系,0032_07151025,FALSE,TRUE
2018,1431,50,151052_國立聯合大學_環境與安全衛生工程學系,0032_07121034,FALSE,TRUE
2018,1432,60,151132_國立聯合大學_經營管理學系,0032_04131011,FALSE,TRUE
2018,1433,50,151062_國立聯合大學_能源工程學系,0032_07132035,FALSE,TRUE
2018,1434,60,151162_國立聯合大學_臺灣語文與傳播學系,0032_02321001,FALSE,TRUE
2018,1435,50,151172_國立聯合大學_華語文學系,0032_02323002,FALSE,TRUE
2018,1436,60,151152_國立聯合大學_財務金融學系,0032_04121014,FALSE,TRUE
2018,1437,50,151122_國立聯合大學_資訊工程學系,0032_06131020,FALSE,TRUE
2018,1439,50,151142_國立聯合大學_資訊管理學系,0032_06131016,FALSE,TRUE
2018,1441,50,151102_國立聯合大學_電子工程學系,0032_07141018,FALSE,TRUE
2018,1442,50,151092_國立聯合大學_電機工程學系,0032_07141017,FALSE,TRUE
2018,1443,60,031052_國立臺中教育大學_區域與社會發展學系,0039_03191037,FALSE,TRUE
2018,1445,70,031102_國立臺中教育大學_國際企業學系,0039_04131039,FALSE,TRUE
2018,1446,50,031022_國立臺中教育大學_幼兒教育學系,0039_01121021,FALSE,TRUE
2018,1447,50,031012_國立臺中教育大學_教育學系,0039_01111001,FALSE,TRUE
2018,1449,50,031162_國立臺中教育大學_數位內容科技學系,0039_06133041,FALSE,TRUE
2018,1450,50,031132_國立臺中教育大學_數學教育學系,0039_01131011,FALSE,TRUE
2018,1452,55,031112_國立臺中教育大學_文化創意產業設計與營運學系,0039_02122034,FALSE,TRUE
